# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
    Saturn 5.683000e+26 1.433000e+12 1.393913e+08 7.354802e-12 -9.389403e-01 9.679916e+03 8.172239e-16
    Uranus 8.681000e+25 2.877000e+12 9.791966e+07 8.551998e-13 -2.011083e-01 6.799964e+03 9.502393e-17
   Neptune 1.024000e+26 4.503000e+12 7.819103e+07 2.182930e-13 -2.153148e-01 5.429890e+03 2.425514e-17
      Moon 7.342000e+22 1.498176e+11 1.130482e+08 2.323444e-08 7.557156e+02 3.036126e+04 2.582454e-12
    Phobos 1.070000e+16 2.279121e+11 3.394810e+08 3.783995e-09 1.413657e+03 2.480871e+04 4.205052e-13
    Deimos 1.480000e+15 2.279192e+11 3.378408e+08 3.783447e-09 6.835100e+02 2.539490e+04 4.204541e-13
        Io 8.930000e+22 7.788230e+11 -5.578260e+07 5.089743e-11 1.118368e+04 2.723147e+04 5.655018e-15
    Europa 4.800000e+22 7.791422e+11 1.953990e+07 5.081055e-11 3.562154e+03 2.649192e+04 5.645731e-15
  Ganymede 1.480000e+23 7.786939e+11 1.237593e+09 5.086678e-11 -1.073010e+04 1.505540e+04 5.652596e-15
  Callisto 1.080000e+23 7.774406e+11 1.742582e+09 5.113942e-11 -6.782118e+03 8.449212e+03 5.682729e-15
     Titan 1.345000e+23 1.433219e+12 -1.062170e+09 7.352330e-12 5.481816e+03 1.067891e+04 8.169315e-16
      Rhea 2.310000e+21 1.432792e+12 6.199341e+08 7.356694e-12 -7.841184e+03 6.302536e+03 8.174597e-16
   Iapetus 1.810000e+21 1.429659e+12 -1.088952e+09 7.408886e-12 1.124054e+03 6.620184e+03 8.232297e-16
     Dione 1.100000e+21 1.432641e+12 4.642007e+07 7.360701e-12 2.429808e+03 -3.536244e+02 8.178717e-16
    Tethys 6.170000e+20 1.432948e+12 -1.404783e+08 7.357426e-12 1.151964e+04 7.301998e+03 8.174763e-16
 Enceladus 1.080000e+20 1.432780e+12 1.472145e+08 7.357532e-12 -7.660272e+02 -3.651306e+03 8.175325e-16
     Mimas 3.750000e+19 1.432966e+12 -2.305911e+07 7.356981e-12 1.513784e+04 4.373953e+03 8.174086e-16
   Miranda 6.590000e+19 2.877106e+12 1.557392e+08 8.550939e-13 -3.196004e+03 1.314406e+04 9.501276e-17
     Ariel 1.350000e+21 2.877186e+12 7.957144e+07 8.550457e-13 6.408782e+02 1.243168e+04 9.500668e-17
   Umbriel 1.170000e+21 2.876882e+12 -1.381096e+08 8.553461e-13 4.199163e+03 4.695107e+03 9.503941e-17
   Titania 3.420000e+21 2.876963e+12 -3.357112e+08 8.552697e-13 3.633306e+03 6.490954e+03 9.503104e-17
    Oberon 3.000000e+21 2.877330e+12 5.776649e+08 8.548734e-13 -2.596419e+03 8.588136e+03 9.498814e-17
    Triton 2.140000e+22 4.502767e+12 -1.876887e+08 2.183323e-13 3.311390e+03 2.521763e+03 2.425940e-17
Asteroid_1 7.852970e+17 5.628202e+10 -5.893497e+09 2.825616e+09 5.046413e+03 4.817096e+04 -1.652451e+01

# Step 4, Time: 1.440000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 5.477146e+01 2.018936e-02 1.582740e-07 5.071430e-03 2.808033e-06 1.465507e-11
   Mercury 3.301000e+23 5.789230e+10 8.616294e+08 7.228770e-05 -7.127664e+02 4.786576e+04 6.703121e-09
     Venus 4.867000e+24 1.081978e+11 6.303566e+08 1.995177e-07 -2.040974e+02 3.501952e+04 1.849141e-11
     Earth 5.972000e+24 1.495989e+11 5.360335e+08 3.506945e-08 -1.064365e+02 2.977935e+04 3.248808e-12
      Mars 6.417000e+23 2.278995e+11 4.343397e+08 5.676700e-09 -4.600067e+01 2.412996e+04 5.257576e-13
   Jupiter 1.898000e+27 7.785000e+11 2.352556e+08 7.640331e-11 -3.447546e+00 1.306963e+04 7.074831e-15
    Saturn 5.683000e+26 1.433000e+12 1.742389e+08 1.103241e-11 -1.172470e+00 9.679894e+03 1.021558e-15
    Uranus 8.681000e+25 2.877000e+12 1.223995e+08 1.282815e-12 -2.498267e-01 6.799957e+03 1.187820e-16
   Neptune 1.024000e+26 4.503000e+12 9.773853e+07 3.274427e-13 -2.660498e-01 5.429859e+03 3.031935e-17
      Moon 7.342000e+22 1.498202e+11 2.223775e+08 3.485918e-08 7.288873e+02 3.036925e+04 3.229093e-12
    Phobos 1.070000e+16 2.279151e+11 4.301589e+08 5.676566e-09 8.123227e+02 2.518833e+04 5.257140e-13
    Deimos 1.480000e+15 2.279206e+11 4.297775e+08 5.675819e-09 3.835484e+02 2.553797e+04 5.256590e-13
        Io 8.930000e+22 7.788553e+11 4.828920e+07 7.634444e-11 8.962357e+03 2.890883e+04 7.068614e-15
    Europa 4.800000e+22 7.791514e+11 1.158567e+08 7.621717e-11 2.560636e+03 2.675468e+04 7.057394e-15
  Ganymede 1.480000e+23 7.786550e+11 1.290375e+09 7.630674e-11 -1.080365e+04 1.466159e+04 7.066656e-15
